# mammos csv v3
#----------------------------------------
# K1-Js corridor samples for material evaluation.
#----------------------------------------
Number,MagnetocrystallineAnisotropyConstantK1,MagnetocrystallineAnisotropyConstantK1,SpontaneousMagneticPolarization
,,,
https://w3id.org/emmo#EMMO_21f56795_ee72_4858_b571_11cfaa59c1a8,https://w3id.org/emmo/domain/magnetic-materials#EMMO_2bb87117-30f9-5b3a-b406-731836a3902f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_2bb87117-30f9-5b3a-b406-731836a3902f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd
,MJ / m3,J / m3,T
index,K1_MJ_m3,K1_J_m3,Js_T
0.0,0.9,900000.0,0.74
1.0,0.9,900000.0,0.8825000000000001
2.0,0.9,900000.0,1.025
3.0,0.9,900000.0,1.1675
4.0,0.9,900000.0,1.31
5.0,1.5909090909090908,1590909.0909090908,0.8090909090909091
6.0,1.5909090909090908,1590909.0909090908,0.9515909090909092
7.0,1.5909090909090908,1590909.0909090908,1.0940909090909092
8.0,1.5909090909090908,1590909.0909090908,1.236590909090909
9.0,1.5909090909090908,1590909.0909090908,1.3790909090909091
10.0,2.2818181818181817,2281818.1818181816,0.8781818181818182
11.0,2.2818181818181817,2281818.1818181816,1.0206818181818182
12.0,2.2818181818181817,2281818.1818181816,1.163181818181818
13.0,2.2818181818181817,2281818.1818181816,1.3056818181818182
14.0,2.2818181818181817,2281818.1818181816,1.4481818181818182
15.0,2.9727272727272727,2972727.2727272725,0.9472727272727273
16.0,2.9727272727272727,2972727.2727272725,1.0897727272727273
17.0,2.9727272727272727,2972727.2727272725,1.2322727272727274
18.0,2.9727272727272727,2972727.2727272725,1.3747727272727273
19.0,2.9727272727272727,2972727.2727272725,1.5172727272727273
20.0,3.6636363636363636,3663636.3636363638,1.0163636363636364
21.0,3.6636363636363636,3663636.3636363638,1.1588636363636364
22.0,3.6636363636363636,3663636.3636363638,1.3013636363636363
23.0,3.6636363636363636,3663636.3636363638,1.4438636363636363
24.0,3.6636363636363636,3663636.3636363638,1.5863636363636364
25.0,4.3545454545454545,4354545.454545454,1.0854545454545454
26.0,4.3545454545454545,4354545.454545454,1.2279545454545455
27.0,4.3545454545454545,4354545.454545454,1.3704545454545456
28.0,4.3545454545454545,4354545.454545454,1.5129545454545454
29.0,4.3545454545454545,4354545.454545454,1.6554545454545455
30.0,5.045454545454546,5045454.545454546,1.1545454545454548
31.0,5.045454545454546,5045454.545454546,1.2970454545454548
32.0,5.045454545454546,5045454.545454546,1.4395454545454547
33.0,5.045454545454546,5045454.545454546,1.5820454545454545
34.0,5.045454545454546,5045454.545454546,1.7245454545454546
35.0,5.736363636363636,5736363.636363637,1.2236363636363636
36.0,5.736363636363636,5736363.636363637,1.3661363636363637
37.0,5.736363636363636,5736363.636363637,1.5086363636363636
38.0,5.736363636363636,5736363.636363637,1.6511363636363634
39.0,5.736363636363636,5736363.636363637,1.7936363636363635
40.0,6.427272727272728,6427272.7272727275,1.292727272727273
41.0,6.427272727272728,6427272.7272727275,1.435227272727273
42.0,6.427272727272728,6427272.7272727275,1.5777272727272729
43.0,6.427272727272728,6427272.7272727275,1.7202272727272727
44.0,6.427272727272728,6427272.7272727275,1.8627272727272728
45.0,7.118181818181819,7118181.818181819,1.3618181818181818
46.0,7.118181818181819,7118181.818181819,1.5043181818181819
47.0,7.118181818181819,7118181.818181819,1.646818181818182
48.0,7.118181818181819,7118181.818181819,1.7893181818181818
49.0,7.118181818181819,7118181.818181819,1.9318181818181819
50.0,7.8090909090909095,7809090.909090909,1.4309090909090911
51.0,7.8090909090909095,7809090.909090909,1.5734090909090912
52.0,7.8090909090909095,7809090.909090909,1.715909090909091
53.0,7.8090909090909095,7809090.909090909,1.858409090909091
54.0,7.8090909090909095,7809090.909090909,2.000909090909091
55.0,8.5,8500000.0,1.5
56.0,8.5,8500000.0,1.6425
57.0,8.5,8500000.0,1.7850000000000001
58.0,8.5,8500000.0,1.9275000000000002
59.0,8.5,8500000.0,2.0700000000000003
